Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Uruguay,URY,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,1.27694211466818,1.27782210089718,1.59817495618485,2.31586181233161,2.37168098623647,2.2553221144042,0.764833930030631
Uruguay,URY,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,1.98177138114907,0.268081798720047,-1.24971407857645,2.54374017651837,-7.729828359697,4.83343533516035,-0.224036780703074
Uruguay,URY,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,..,..,..,..,..,..,0
Uruguay,URY,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.32661365334333,2.91972964540865,0.0416798842422565,1.36367741954804,1.37729272694764,0.335943932037992,0.310434697962393
Uruguay,URY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.6375386412851,3.23879121744656,0.370741265001499,1.68979816429228,1.62775397322494,0.477907183899063,0.350447153086122
Uruguay,URY,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,4.92131060073126,4.2514664531339,0.493118703830845,1.06697009331785,-5.46762872737574,2.80564399948378,0.907879891286427
Uruguay,URY,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,1.19814148724097,4.18497783192278,4.8982220088461,0.725579203285108,-4.16952388598924,5.79419787425763,-3.68903423199208
Uruguay,URY,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,7.77479686082671,1.49924581631342,1.59185570543954,4.75044658209644,0.848022786579449,-0.418065199890222,2.01093422379941
Uruguay,URY,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,7.45454967373207,1.18556034451622,1.25879095080093,4.41451029086244,0.599483185100283,-0.558762550054638,1.97025968727709
Australia,AUS,Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,7,7,7,7,7,7,8
Australia,AUS,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,124.766812516765,128.501429843187,136.426211919814,142.696064593072,140.575272332317,139.974554806786,136.264129011724
Australia,AUS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,1.36517488167218,1.01384449933768,0.88872549882617,0.947676353339703,0.857013750175751,0.901855193874304,0.961493162441897
Australia,AUS,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,-0.848482321547692,1.1206660919661,1.492909718468,-7.12734573465541,9.38609842719431,-2.77284826974268,-10.5054653309274
Australia,AUS,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,..,..,..,..,..,-0.26,..
Australia,AUS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.828325557835214,1.06033708469104,0.693065822727618,1.13842433965326,0.604963407727865,1.34828275238704,0.665151144847243
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.57875428825342,2.57901711177597,2.1527359059391,2.73054799209893,2.28218364248465,2.88304512347683,2.1713962244835
Australia,AUS,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,3.39447998302245,4.19873513845796,1.52235700083885,0.945148952987068,-1.05339950881719,3.93451186606526,1.16744439574276
Australia,AUS,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,-3.29679213555815,-0.887826246885922,-1.5283916461419,-2.20139793051463,-0.567554784802155,2.24001550305657,-0.971835718408869
Australia,AUS,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..,..,..,..
Australia,AUS,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..,..,..,..
Belgium,BEL,Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,5,5,5,5,5,5,5
Belgium,BEL,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,56.4080635308491,57.8900966815904,60.6328656443199,63.3767301509724,65.0960419961708,68.0857418354669,69.791181355702
Belgium,BEL,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,4.318537467084,4.24739060198863,3.85093164747182,3.48452664274546,2.96174954064201,2.26826570545996,2.08706915566812
